Matricule;Annee;Mois;Statut;Indice;NBI;Libelle;Code;Heures;Heures.Sup.;Temps.de.travail;quotite.moyenne.orig;Base;Nb.Unite;Taux;Montant;Debut;Fin;Type;Service;Emploi;Grade;quotite;quotite.moyenne;Annee.rappel;Mois.rappel
050002;2010;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;6;19,86;;2009-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;12,5;41,5;;2010-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;8,5;28,22;;2010-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;7;23,24;;2010-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;8;26,56;;2010-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;6;19,92;;2010-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;10,5;34,86;;2010-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;8;26,56;;2010-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;2,5;8,3;;2010-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;7;23,24;;2010-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050002;2010;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;3,5;11,62;;2010-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;12;0;100;1;3,27;0;4;13,08;;2009-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;11;35,97;;2009-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;15;49,05;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;8,5;27,8;;2009-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;8;26,16;;2009-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;10;32,7;;2009-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;3;9,93;;2009-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;9;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;9,5;31,45;;2009-08-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;6;19,86;;2009-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;10,5;34,76;;2009-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2009;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;7,5;24,83;;2009-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050004;2010;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,31;0;11;36,41;;2009-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050004;2010;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,32;0;7;23,24;;2010-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050004;2010;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,32;0;10,5;34,86;;2010-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050004;2010;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,32;0;17,5;58,1;;2010-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050004;2010;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,32;0;4;13,28;;2010-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050004;2010;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,32;0;2;6,64;;2010-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050012;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;6,5;21,26;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;15;49,05;;2009-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;13,5;44,15;;2009-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;5;16,35;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;3,5;11,45;;2009-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;10;32,7;;2009-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;10,5;34,76;;2009-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;9;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;0,5;1,66;;2009-08-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;1,5;4,97;;2009-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;4,5;14,9;;2009-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2009;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;2,5;8,28;;2009-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050012;2010;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,25;3,31;0;8,5;28,14;;2009-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,25;;
050014;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,27;0;0,5;1,64;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050014;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,916666666666667;3,27;0;0,5;1,64;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,916666666666667;;
050018;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,833333333333333;3,27;0;1;3,27;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,833333333333333;;
050018;2009;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,833333333333333;3,27;0;1,5;4,91;;2009-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,833333333333333;;
050018;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,833333333333333;3,27;0;2,5;8,18;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,833333333333333;;
050018;2009;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,833333333333333;3,27;0;3;9,81;;2009-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,833333333333333;;
050033;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,166666666666667;3,27;0;2;6,54;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,166666666666667;;
050035;2009;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;1,5;4,97;;2009-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050039;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,75;3,27;0;8;26,16;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,75;;
050048;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;11,5;37,61;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;18;58,86;;2009-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;14;45,78;;2009-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;22,5;73,58;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;15;49,05;;2009-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;10,5;34,34;;2009-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;7;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;18;58,86;;2009-06-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;8;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;20;66,2;;2009-07-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;9;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;1,5;4,97;;2009-08-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;10;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;15;49,65;;2009-09-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;11;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;12,5;41,38;;2009-10-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2009;12;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;4;13,24;;2009-11-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2010;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,31;0;2;6,62;;2009-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2010;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;2,5;8,3;;2010-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2010;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;0,5;1,66;;2010-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050048;2010;6;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,32;0;2,5;8,3;;2010-05-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050062;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;0,166666666666667;3,27;0;0,5;1,64;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;0,166666666666667;;
050063;2009;1;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;12;39,24;;2008-12-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050063;2009;2;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;38;124,26;;2009-01-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050063;2009;3;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;15;49,05;;2009-02-28;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050063;2009;4;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;32;104,64;;2009-03-31;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
050063;2009;5;AUTRE_STATUT;;0;HEURES SUP. AMPLITUDE 10 H;2560;;0;100;1;3,27;0;18;58,86;;2009-04-30;R;EQUIPE CRECHE FAMILIALE;ASSISTANTE MATERNELLE;ASSISTANTE MATERNELLE;1;1;;
