Code;Libelle
1950;HEURES COMPL. TEMPS PARTIEL 18-20-21 06
1950;HEURES COMPL. SERVICE EDUC
1950;HEURES COMPL. TP LE 24 ET 26 06 2013
1955;H COMPL EXO TEMPS PARTIEL
1955;H COMPL 18 02 AU 31 03 09
1955;HEURES COMPL TEMPS PARTIEL MAI ET JUIN
195B;IND. HOR.  TRAV. DIM  JOURS FERIES
195C;IND. HOR. TRAVAIL DE NUIT
195E;IND. CONDUITE ENGINS SPECIAUX
195F;IND. TRAVAUX INSALUBRES
196A;HEURES ELECTIONS
196A;HEURES ELECTIONS NUIT
2005;TRAITEMENT ANIMATEUR
205A;INDEMNITE DE CONSEIL 2008
205A;INDEMNITE CONSEIL 2009
205A;INDEMNITE CONSEIL 2010
205A;INDEMNITE CONSEIL EXERCICE 2011
205A;IND CONSEIL EXERCICE 2012
205A;INDEMNITE DE CONSEIL 2013
211D;HEURES SUPPLEMENTAIRES CUI
211D;HEURES SUPPLEMENTAIRES CAE
211D;HEURES SUP NUIT CAE
211D;HEURES 1ER MAI
211D;HEURES SUPPLEMENTAIRES
211D;RETENUE POUR SERVICE NON FAIT
211D;H SUPPLEM NUIT CAE
211D;HEURES SUPPLEMENTAIRES CEC
211D;HEURES SUP NUIT C.U.I
211D;HEURES SUP DIM CEA
2204;REMUNERATION CAE
2204;REMUNERATION C.U.I
2204;REMUNERATION CUI
2204;SERVICE NON FAIT
2204;RETENUE SERVICE NON FAIT
2204;RETENUE PR SERV NON FAIT
2204;RETENUE SERV NON FAIT
2219;SALAIRE CONTRAT ADULTES-RELAIS
2230;REMUNERATION CEA
2250;SALAIRE APPRENTI
2300;VACATIONS
2300;ACT PUB A TITRE ACCESS.
2301;VACATIONS ANIM. POL. VILLE
2301;VACATIONS ANIM. POL. VILLE CENTRE VILL
2301;VACATIONS ANIM. POL. VILLE VAL VERT
2302;VAC ETUD SURV NON ENSEIGNANTS
2302;VAC ETUD SURV NON ENSEI JUILLET
2303;VACATIONS PSYCHOLOGUE
230B;VACATIONS THEATRE
230C;INDEMNITE COMPL. MALADIE  90%
230D;INDEMNITE COMPL. MALADIE  2 3
2400;INDEMNITE FONCTION MAIRE
240A;INDEMNITE MAIRE MS
2450;INDEMN. FONCTION ADJOINT
2451;INDEM. FONCTION CONSEILLER
2452;INDEMN. CONSEILLER MUNIC
2456;INDEMNITE CONS. MUNICIPAL
2501;REMUNERATION DE BASE 3E
2501;PRIME RETRAITE
2501;PRIME DEPART RETRAITE
2502;REMUNERATION DE BASE 2E
2502;RETENUE MALADIE SUR FORFAIT
250A;REMUNERATION COMPLEMENTAIRE
250A;JOURNEE D ADAPTATION
250A;JOURNEE ADAPTATION
250A;JOURS FORMATION
250E;INDEMNITES DIMACHES ET JF       ASMAT
250E;REUNION DU 26.01.2009
250H;INDEMNITE DU 1ER MAI
2553;IND ENTRETIEN TPS COMPLET
2553;REGUL. IND ENTRETIEN 2008
2553;REGUL.IND ENTRETIEN 01.2009
2553;REGUL.IND ENTRETIEN 2008
2553;REG.IND ENTRETIEN 01.2009
2554;IND REPAS TPS COMPLET
2554;REG IND REPAS TPS COMPLET
2554;REGUL.IND REPS TPS COMPLET
2554;REG IN REPAS TPS COMPLET
2556;IND ENT TPS NN COMPLET
2556;REGUL.IND ENTRETIEN 2008
2557;REG INDEMNITE REPAS MIDI
2557;INDEMNITE REPAS MIDI
2557;REG  INDEMNITE REPAS MIDI
2558;REG INDEMNITE DE GOUTER
2558;INDEMNITE DE GOUTER
2558;REG INDEM.GOUTER 01.2009
2558;REG INEMNITE DE GOUTER
2560;HEURES SUP. AMPLITUDE 10 H
2560;REGUL.HSUP
2561;HEURES AVANT 7 H ET APRES 20 H
2600;CHOMAGE ALLOCATION BASE
3001;ABOND. PRIME FIN D ANNEE
3005;I.H.T.S.
3011;GIPA (GAR.INDIVID.POUV.ACHAT) CALC
3012;GIPA (GAR.INDIVID.POUV.ACHAT) SAISIE
3046;I.F.T.S.
3051;I.A.T.
3052;I.F.T.S. MS
3052;I.F.T.S.  MS
3052;I.A.T. MS
3052;I.A.T. MS 2012
3052;I.A.T. MS 2011
3052;I.F.T.S.  MS 2011
3052;I.F.T.S.  MS 2012
3052;I.S.S. MS
3052;I.S.S.  MS
3052;PRIM. FONCT. RES. PART IND. MS
3052;PRIM. FONCT. RES. PART IND.  MS
3052;PRIM. FONCT. RES. PART IND  MS
3052;I.S.C.B.  MS
3052;I.S.C.B.  MS 2012
3052;PRIM. FONCT. RES. PART. FONCT. MS
3052;PRIM. FONCT. RES PART IND.  MS
3052;I.S.C.P. MS
3052;I.S.C.P.  MS
3052;I.A.T. MS 2013
3052;I.S.S.  MS 2011
3052;I.S.S . MS 2012
3052;I.F.S.S. C.A.S.E.  MS
3052;I.F.S.S. C.A.S.E.   MS
3052;INDEMNITE COMPENSATRICE
3052;I.F.S.S. C.A.S.E.
3052;PRIM_ FONCT. RES. PART IND. MS
3052;I.F.S.S. C.A.S.E. MS
3052;I.S.S. MS 2013
3052;I.F.S.S. C.A.S.E  MS
3052;PRIM. FONCT. RES. PART. IND. MS
3052;PRIM. FONCT. RES PART IND. MS
3052;PRIM. PART. FONCT RES IND  MS
3052;PRIM. FONCT. RES. PART IND. MS 2012
305A;I.E.M.P.
307A;REMUNERATION STAGIAIRE (25%SMIC)
3204;P.M. CEC CEJ
3205;P.S.R.
3209;PRIME SERVICE ET RENDEMENT
3252;I.S.S.
3411;P.F.A.S.P.
3413;P.S.F.S.
3420;P.S.
3430;I.S.S.A.P.S.
3432;I.F.S.S. C..A.S.E.
3433;P.D.C.I.
3435;I.S.S.
3640;I.S.C.B.
3641;I.S.S.C.P.
3645;I.S.C.P.
401A;INDEMNITE COMPENSATRICE
401A;PRIME ELAGAGE
401A;DEDUCTION RI 3EME ARRET MEDICAL
401A;DEDUCTION RI 4 EME ARRET MALADIE
401A;DEDUCTION RI 3EME ARRET MALADIE
401A;CAPTURE CHIENS
401A;DEDUCTION RI 4EME ARRET MALADIE
401A;DED RI 3EME ARRET MALADIE
401A;DEDUCTION RI 5EME ARRET MALADIE
401A;DEDUCTION RI 6EME ARRET MALADIE
401A;DEDUCTION RI 7EME ARRET MALADIE
401A;DEDUCTION RI 8EME ARRET MALADIE
401A;DEDUCTION RI 4EME ARRET MEDICAL
401A;P.S.R.
401A;I.S.S.
401A;DED RI 3E ARRET MALADIE
401A;DED RI 4E ARRET MALADIE
401A;I.F.T.S.  MS 2012
401A;MODULATION POSITIVE 2012
401A;I.S.P.M.
401A;DED RI 6EME ARRET MALADIE
401A;COEFFICIENT DE MODULATION
401A;RAPPEL IEMP 2012
401A;INDEM COMPENS BRUT FIXE
401A;INDEMNITES DIVERSES         M.S.
401A;DED RI 4EME ARRET MALADIE
401A;I.A.T.
401A;DEDUCTION 3EME ARRET MALADIE
401A;CONGES PAYES
401A;INDEM COMP BRUT FIXE
401A;INDEMNITES CHANGEMENT RESIDENCE
401A;DEDUCTION RI 3E ARRET MALADIE
401A;P.S.R
401A;RET RI SERVICE NON FAIT
401A;RAPPEL SFT
401A;DED RI 5EME ARRET MALADIE
401A;INDEMNITE COMPENSATRICE 2012
401A;PRIM. FONCT. RES PART FONCT.
401A;PRIM. FONCT. RES PART IND.
401A;IND COMPENSATRICE 2013
401A;SOLDE HEURES REGIE
401A;AIDE AUX VACANCES 2008
401A;ASTREINTE (15 J _10)
401A;ASTREINTE DIM (1 _ 18)
401A;ASTREINTE NUIT (10_10)
401A;ASTREINTE WE (2_76)
401A;ASTREINTE WE (1_76)
401A;ASTREINTE NUIT (4_10)
401A;ASTREINTE DIM JF (2_18)
401A;ASTREINTE NUIT (12_10)
401A;ASTREINTE NUIT (8_10)
401A;ASTREINTES WE 5-6 11 11
401A;I.A.T
401A;I.E.M.P
401A;I.E.M.P.
401A;INDEMNITE COMPENSATRICE 2013
401A;MODULATION POSITIVE
401A;HEURES COMPLEMENTAIRES
401A;HEURES COMPLEMENTAIRE
401A;SUPPLEMENT FAMILIAL OCT-NOV-DEC
401A;DEDUCTION 3 EME ARRET MALADIE
401A;SUPPLEMENT FAMILIAL
401A;SUPPLEMENT FAMILIAL HOR
401A;TRAITEMENT INDICIAIRE
401A;DED CARENCE TT INDICIAIRE
401A;RETENUE TRAVAIL NON-FAIT 27 09 13
401A;CONGES PAYES 01 03 AU 18 03 13
401A;SERVICE NON FAIT (3 H LE 26 04 2013)
401B;INDEMNITES D ASTREINTES            M.S
401B;IND ASTREINTES+JF SEM53
401B;IND ASTREINTES+JF SEM52
401B;PRIM. FONCT. RES PART IND.
401B;IND ASTREIN 25 12 AU 02 01 11
401B;IND ASTREINTES SEM 52
401E;AIDE AUX VACANCES
401E;AIDE AUX VACANCES 2008
401G;CHEQUES VACANCES MS
401H;C TISATION SUR CHEQUES VACANCES
401I;COT PAT AIDE VAC   AFF
401J;COT OUV AIDE VACANCES AFF
401K;COMPLEMENT CHEQUES VACANCES  M.S
401N;PRIME AIDE VACANCES MS (FORFAIT)
401N;PRIME AIDE VACANCES MS
401N;INDEMNITE COMPENSATOIRE
401N;PRIME AIDE VACANCES MS(FORFAIT)
401O;INDEMNITE COMPENSATRICE
401O;INDEMNITE COMPENSATOIRE
401R;INDEMNITE DE REGIE
401R;INDEMNITE DE REGIE 2008
401R;INDEMNITE DE REGIE 2010
401R;INDEMNITE DE REGIE 2011
401R;INDEMNITE DE REGIE 2012
401V;COMPTE EPARGNE TEMPS
401V;C.E.T. 16 JOURS
402A;INDEMNITE COMPENSATRICE
402V;C.E.T. REVERSE A LA R.A.F.P.
4040;IND. ASTREINTE SEM. FIL TECH.
4050;IND. ASTREINTE NUIT SEMAINE
4050;IND. ASTREIN NUIT SEM 50
4050;IND. ASTREIN NUIT SEM 51
4070;IND. ASTREINTE JOUR SAMEDI
4075;IND ASTR NUIT SEM FRACTIONNEE
4080;INDEMNITE D ASTREINTE JOURNEE DIM FERIE
4090;INDEMNITE D ASTREINTE WEEK-END
4090;IND ASTREIN W-END SEM 50
4151;IND. HOR. TRAVAIL INTEN.NUIT
4250;IND. TVX DANG. INSAL. C1
4290;PRIME FONCTION INFORMATIQUE
4307;PRIM. FONCT. RES PART FONCT.
4308;PRIM. FONCT. RES PART IND.
4370;I.S.P.M.
438H;NOMBRE HEURES DIM.   JRS FERIES
438H;NB H DIM ET JF HD
438H;NB H DIM.   JRS FERIES HD
438H;NB H DIM.   JRS FE HD
438H;NOMBRE HEURES D  JF HD
438H;NOMBRE HEURES DIM   JF HD
438H;NOMBRE HEURES D   JF  HD
438H;NB H DIM.   JRS F HD
438H;NB H D   J FERIES HD
438H;NOMBRE HEURES D JF HD
438H;NOMBRE HEURES DIM.   JRS FERIES HD
438H;NOMBRE HEURES D JF  HD
438H;NOMBRE HEURES D  JF  HD
438H;HEURES DIM JRS FERIES 01 01 AU 28 05 07
438H;NOMBRE HEURES D§ JF  HD
4651;RET. T.I. POUR SERVICE NON FAIT
4652;RET.N.B.I POUR SERVICE NON FAIT
4653;RET. IND POUR SERVICE NON FAIT
4670;DED CARENCE TT INDICIAIRE
4671;DED CARENCE TT IND HORAIRE
4672;DEDUCTION CARENCE SUR NBI
4676;DED CARENCE REG INDEMNIT.
4701;AVANTAGE EN NATURE A.M
4705;AVANTAGES EN NATURE REPAS
4705;AVANTAGES EN NATURE REPAS JUIN
4705;AVANTAGES EN NATURE REPAS JUILLET
4710;AVANTAGE NATURE LOGEMENT              MS
4715;AVANTAGE NATURE LOGEMENT            CALC
473I;IJ - INDEMN.JOURNALIERES
4750;SOLDE CONGES PAYES 4JOURS
4750;CONGES PAYES              MS
4750;SOLDE CONGES PAYES
4750;CONGES PAYES                          MS
4750;CONGES PAYES
4750;CONGES PAYES SAISONNIERS
4750;COEFFICIENT DE MODULATION RAPPEL OCT
4750;CONGES PAYES 01 AU 07 06 10
4750;CONGES PAYES JUSQ AU 18 07 10
4750;CONGES PAYES 5.5 ET 6 H RTT
475A;CONGES PAYES
4770;INDEMNITE COMPENSATRICE
4771;INDEM COMPENS BRUT FIXE
4790;INDEM. JOURN. DE 12 08, 01 09 ET03 09
4790;IND. JOURN. DU 01 02 AU 28 02 09
4790;IND JOURN 02 09 AU 25 09 09
4790;IND JOURN 4 AU 14 10 11
4790;IND JOURN 17 12 AU 24 12 09
4790;IND JOURN 03 AU 11 06 10
4790;IND JOURN 23 12 10 AU 02 01 11
4790;IND JOURN D AVRIL A JUILLET 11
4790;IND JOURN 13 09 AU 21 10 11
4790;IND JOURN 22 10 AU 14 11 11
4790;IND JOURN DU 31 08 AU 16 09 09
4790;IND JOURN 17 09 AU 19 10 09
4790;IND JOURN 25 10 AU31 10 09
4790;INDEM. JOURN DU 05 02 09 AU 04 03 09
4790;IND JOURN 05 10 AU 23 10 09
4790;IND JOURN 29 09 AU 04 10 10
4790;IND JOURN 04 01 AU 08 01 10
4790;IND. JOURN DU 18 12 AU 24 12 08
4790;IND JOURN 17 12 AU 03 01 11
4790;IND JOURN 08 AU 15 04 11
4790;INDEM. JOURN. DU 24 08 AU 12 09 09
4790;IND JOURN 27 08 AU 04 09 09
4790;IND JOURN 25 11 AU25 12 08
4790;IND JOURN 24 08 AU 27 10 11
4790;IND JOURN 13 01 AU 16 01 09
4790;IND. JOURN. DU 9 AU 16 MAI 2009
4790;INDEM. JOURN DU 17 05 AU 23 05 09
4790;IND JOURN 24 AU 30 01 11
4790;IND JOURN 30 06 AU 05 07 09
4790;IND JOURN 21 11 AU 30 11 09
4790;IND JOURN 06 02 AU 13 02 10
4790;IND JOURN 15 11 AU 05 12 08
4790;IND JOURN 11 02 AU 17 02 09
4790;IND JOURN DU 08 AU 15 12 10
4790;IND JOURN 01 12 AU 05 12 08
4790;IND JOURN 11 11 AU 14 12 09
4790;IND JOURN 06 01 AU 01 03 10
4790;INDEM. JOURN DU 03 03 09 AU 11 03 09
4790;IND JOURN 01 AU 11 09 10
4790;IND JOURN 18 01 AU 22 01 10
4790;IND JOURN 27 04 AU 07 05 09
4790;IND JOURN 25 AU 28 02 11
4790;IND JOURN 04 08 AU 07 08 09
4790;IND JOURN JANVIER 09
4790;INDEM. JOURN. BRUTE 23 09 AU 26 09 09
4790;IND JOURN 16 12 AU 21 12 08
4790;IND JOURN 06 AU 11 04 10
4790;IND JOURN 21 AU 30 01 11
4790;IND JOURN DU 15 AU 18 03 10
4790;IND JOURN 25 AU 29 01 11
4790;IJ DU 23 08 AU 27 08 10
4790;IND JOURN 13 AU 18 12 11
4790;IND JOURN 19 11 AU 07 12 08
4790;IND JOURN 19 02 AU 28 02 09
4790;IND JOURN 14 AU 18 11 11
4790;IJ 30 05 AU 21 06 12
4790;IND JOURN 14 AU 20 03 11
4790;IND JOURN 12 09 AU 18 09 09
4790;IND JOURN 14 AU 27 09 10
4790;IND JOURN 23 10 AU 11 02 11
4790;IND JOURN 13 AU 20 11 12
4790;IND JOURN DU 20 AU 26 12 10
4790;IND JOURN 12 10 AU 28 12 11
4790;IND JOURN 29 03 AU 02 04 10
4790;IJ DU 10 08 AU 12 09 10
4790;IND JOURN 09 03 AU 19 03 10
4790;IND JOURN 16 02 AU 19 02 10
4790;IJ DU 12 07 AU 15 07 2010
4790;IJ DU 23 07 AU 06 08 2010
4790;IND JOURN 19 AU 23 01 12
4790;IND JOURN 31 05 AU 19 06 11
4848;SEUIL D EXONERATION ETUDIANT ENTREPRISE
4849;BASE COTISATIONS ETUDIANT ENTREPRISE
4872;COEFFICIENT DE MODULATION
4872;MODULATION POSITIVE
4929;CONGES PAYES SAISONNIERS
5000;___ COTIS. SALARIALES ___
5002;BASE CNRACL SUR EQUIVALENT TEMPS PLEIN
5026;RAFP PLAFOND  AGENT
5027;RAFP BASE AVANT PLAFONNEMENT
5055;S.S. MALADIE VIEILLESSE TOTALITE RG
5055;S.S. MALADIE VIEILL. TOT. RG
5056;S.S. MALADIE VEUVAGE TOT.           ELUS
5060;S.S. VIEILLESSE PLAFONNEE RG
5079;SS VEUVAGE TOTALITE ELU
5081;S.S. MALADIE TOT. ELUS
5084;SS MALADIE VIEILLESSE TOT CAE
5084;SS MAL. VIEILL. TOT C.U.I
5085;SS VIEILLESSE PLAFONNEE CAE
5085;SS VIEILLESSE PLAF. C.U.I
5092;S.S. VIEILLESSE PLAFONNEE ELUS
5095;SS MAL VIEILL TOT CEA
5096;SS VIEILL PLAF CEA
5150;RAFP COTISATIONS PART SALARIALE
5151;R.A.F.P. REVERSION C.E.T.
5200;CNRACL
5201;CNRACL NBI
5203;CNRACL PO TP PARTIEL OU TNC EQUIV TPLEIN
5260;COTISATION RETRAITE ETAT PO
5290;COTIS. RETRO. C.N.R.A.C.L.
5290;RBT COTISATIONS VALIDATIONS SERVICES
5300;IRCANTEC TR. A
5305;IRCANTEC TR. B
5320;IRCANTEC TR. A  ELUS
5325;IRCANTEC TR. B  ELUS
5820;CAREL                               CALC
6000;___ CHARGES PATRONALES___
6050;S.S. MALADIE VEUVAGE TOTALITE RM
6055;S.S. MALADIE VEUVAGE TOTALITE RG
6056;S.S. MALADIE VEUVAGE TOT.          ELUS
6057;S.S. MALADIE TOTALITE STAGIAIRE ENTR.
6060;S.S. VIEILLESSE PLAFONNEE RG
6062;S.S. VIEILLESSE PLAFONNEE
6065;S.S. VIEILLESSE TOTALITE RG
6066;S.S. VIEILLESSE TOTALITE STAG. ENTR.
6070;S.S. ALLOCATIONS FAMILIALES RM
6075;S.S. ALLOCATIONS FAMILIALES RG
6076;S.S. ALLOCATIONS FAMILIALES STAG ENT
6080;S.S. ACCIDENT DU TRAVAIL RG
6082;S.S. ACCIDENT DU TRAVAIL STAG ENTR.
6084;S.S. ACCIDENT DU TRAVAIL CAE
6084;S.S. ACCIDENT DU TRAVAIL CUI
6089;SS FNAL CAE
6089;SS FNAL C.U.I
6090;S.S. F.N.A.L. RM
6091;SS TRANSPORT CAE
6091;SS TRANSPORT C.U.I
6095;S.S. F.N.A.L. RG
6097;S.S. F.N.A.L. APP
6098;S.S. FNAL STAGIAIRE ENTREPRISE
6100;S.S. TRANSPORT RM
6101;COTISATION SOLIDARITE AUTONOMIE RM PP
6105;S.S. TRANSPORT RG
6107;S.S. TRANSPORT APP
6108;S.S. TRANSPORT STAGIAIRE ENTREPRISE
6109;CONTRIBUTION SOLIDARITE AUTONOMIE RG PP
6109;CONTRIBUTION SOL. AUT. RG PP
6114;CONTRIBUTION SOLIDARITE AUTONOMIE CAE
6114;CONTRIB. SOL. AUT. C.U.I
6121;S.S. TRANSPORT ELUS
6125;CONT SOLID AUTONOMIE ELUS
6131;FNAL SUPPLEMENTAIRE CAE
6131;FNAL SUPPLEMENTAIRE C.U.I
6132;FNAL SUPPLEMENTAIRE RM
6134;FNAL SUPPLEMENTAIRE RG
6136;FNAL SUPPLEMENTAIRE APPRENTIS
6142;FNAL SUPPLEMENTAIRE PLAFONNEE CAE
6143;FNAL SUPPLEMENTAIRE PLAFONNEE RM
6144;FNAL SUPPLEMENTAIRE PLAFONNEE RG
6145;FNAL SUPPLEMENTAIRE PLAFONNE APPRENTIS
6148;FNAL SUPP PLAFONNE ELUS
6150;RAFP COTISATIONS PART PATRONALE
6154;FNAL SUPP. AU DESSUS PLAFOND RM
6155;FNAL SUPP. AU DESSUS PLAFOND RG
6157;FNAL SUP DESS PLAF ELUS PROR. SS
6162;SS ACCIDENT DU TRAVAIL CEA
6163;SS FNAL CEA
6164;SS TRANSPORT CEA
6165;CONTRIBUTION SOLIDARITE AUTONOMIES CEA
6167;FNAL SUPPLEMENTAIRE PLAFONNE CEA
6168;CNFPT CEA
6200;CNRACL
6202;CNRACL TPARTIEL EQUIV TPLEIN
6205;CNRACL A.T.I.
6206;CNRACL ATI TPARTIEL EQUIV TPLEIN
6208;CNRACL SUR NBI PP
6210;CNRACL F.C.C.P.A.
6211;CNRACL FCCPA TPARTIEL EQUIV TPLEIN
6260;CONTRIBUTIONS RETRAITE ETAT PP
6290;COTIS. RETRO C.N.R.A.C.L.
6300;IRCANTEC TR. A
6305;IRCANTEC TR. B
6312;S.S. VIEILLESSE PLAF ELUS
6314;S.S. VIEILL VEUV TOT ELUS
6316;S.S. ALLOC FAMIL ELUS
6317;S.S. ACCIDENT DU TRAVELUS
6320;IRCANTEC TR. A  ELUS
6321;S.S. F.N.A.L ELUS
6325;IRCANTEC TR. B  ELUS
6330;IRCANTEC TR. A APP
6500;ASSEDIC TR. A
6500;POLE EMPLOI TR. A
6510;REGUL. POLE EMPLOI PAT.
6820;CAREL  PART PATRONALE               CALC
6880;CENTRE DE GESTION RM
6880;CDG PART OBLIGATOIRE
6885;CENTRE DE GESTION RG
6885;CDG PART OBLIGATOIRE
6890;C.N.F.P.T. RM
6895;C.N.F.P.T. RG
6897;CNFPT CAE
6897;CNFPT C.U.I
7001;C.S.G. TITULAIRES
7002;CSG RG
7003;CSG NON AFFILIES
7004;CSG NON AFFILIES                    ELUS
7021;CSG TITULAIRES REGUL.
7031;R.D.S. TITULAIRES
7032;RDS RG
7033;RDS NON AFFILIES
7034;RDS NON AFFILIES
7035;RDS NON AFFILIE CHOMEUR
7044;RDS TITULAIRES REGUL.
7111;CSG DEDUCTIBLE TITUL.
7112;CSG DEDUCTIBLE RG
7113;CSG DEDUCT.  NON AFFILIES
7114;CSG DEDUCT.  NON AFFILIES           ELUS
7116;CSG DEDUCT. TIT CPA
7126;CSG DEDUCTIBLE TITULAIRES REGUL.
7162;C.S.G. 100 %
7162;C.S.G. 100 %   ANIM.
7163;C.S.G. DEDUCTIBLE 100%
7163;C.S.G. DEDUCTIBLE 100% ANIM.
7164;R.D.S. 100 %
7164;R.D.S. 100 %   ANIM.
7168;CSG 100 % ELUS
7169;CSG DEDUCTIBLE 100 % ELUS
7170;CRDS 100 % ELUS
7210;REMB. FRAIS DE MISSION
7210;IND. CHANGEMENT RESIDENCE
7211;REMB. FRAIS MISSION PERMANENT
7211;REMB. FRAIS TRANSPORTS PUBLICS
7211;REMB. FRAIS TRANSP. PUB.
7211;REMB. TRANSPORTS 03 05 AU 09 05
7211;REMB. TRANSPORTS 25 05 AU 31 05
7211;REMB. TRANSPORTS 01 06 AU 30 06
7211;REMB. TRANSPORTS 30 06 AU 06 07
7211;REMB. TRANSPORTS 07 07 AU 13 07
7211;REMB. TRANSPORTS 01 08 AU 31 08
7211;REMB. TRANSPORTS 01 09 AU 07 09
7211;REMB. TRANSPORTS 21 09 AU 27 09
7211;REMB. TRANSPORTS 28 09 AU 04 10
7211;REMB. FRAIS TRANSPORT PUBLIC
7211;REMB. TRANSPORTS PUBLICS
7211;REMB. FRAIS MTRANSPORTS PUBLICS
7211;REMB TRANSPORT PUBLIC
7211;REMB FRAIS TRANSPORT PUBLIC
7211;REMB. FRAISTRANSPORTS PUBLICS
7211;REMB. FRAIS TRANPORTS PUBLICS
7211;REMB.TRANSPORTS PUBLICS
7211;REMB.TRANSPORT PUBLIC
7211;REMB. FRAIS MISSION 2012
7211;REMB. FRAIS MISSION 2010
7211;REMB. FRAIS MISSION 2011
7211;REMB. FRAIS TRANSPORT
7211;REMB. FRAIS TRANSPORTS
7211;REMB. FRAIS TRANPSORTS PUBLICS
7211;DED PART MUT EMPLOYEUR
7211;REMBTRANSPORT PUBLIC MARS
7211;REMB TRANSPORT PUBLIC AVRIL
7211;REMB TRANSPORT PUBLIC MAI
7211;RB FRAIS TRANSPORT PUBLIC
7211;REMB. FRAIS DE TRANSPORTS PUBLICS
7211;REMB VISITE PL
7211;REMB FRAIS STATIONNEMENT
7231;REMB. FRAIS STATIONNEMENT
7231;REMB STATIONNEMENT
7231;REMB STATIONNEMENT JUILLET
7231;REMB STATION AVRI-MAI
7231;REMB STATION JUILLET
7231;REMB.STATION MARS-AVRIL
7231;REMB STATION MAI-JUIN
7231;REMB STATION SEPT
7231;REMB STATION OCT-NOV-DEC
7231;REMB STATION JANV-FEV
7231;REMB STATION MARS-AVRIL-MAI
7231;REMB STATION SEPT-OCT
7231;REMB.STATION AVRIL-MAI-JUIN
7231;REMB STATION NOV-DEC
7231;REMB STATION MARS-AVRIL
7231;REMB STATION DEC-JANV
7231;REMB STATION SEPT-OCT-NOV-DEC
7231;REMB STATION JANV-FEV-MARS
7231;REMB STATION AVRIL-MAI-JUIN
7231;REMB STATION JUILLET-AOUT
7231;REMB STATION SEPTEMBRE-OCTOBRE
7231;REMB.JUILLET A AOUT
7231;REMB STATION OCT-NOV
7231;REMB STATION AOUT-SEPTEMBRE
7231;REMB. STATIONNEMENT AVRIL+MAI
7231;REMB STATION JUILLET-SEPTEMBRE
7231;REMB. JUILLET-SEPT
7231;REMB STATION AVRIL A SEPTEMBRE
7231;REMB STATION SEPT-DEC 12
7231;REMB STATION JUILLET-AOUT-SEPTEMBRE
7231;REMB STATION FEV-MARS
7231;REMB STATION SEPT-OCT-NOV
7231;REMB.JUILLET A SEPT
7231;REMB STATION OCT A DEC
7231;REMB STATION AOUT-SEPT
7231;REMB STATION JUIL-AOUT
7231;REMB STATION JUIL-AOUT-SEPT
7231;REMB.STATION AVRIL-MAI
7231;REMB STATIONNEMENT JUIN
7231;REMB STATIONNEMENT JUIN, JUILLET,AOUT
7231;REMB STATION AVRIL
7231;REMB STATION AVRIL-MAI
7231;REMB STATION SEPT A DEC
7231;REMB STATION AOUT A DECEMBRE
7231;REMB STATION JUIN-JUILLET
7231;REMB STATIONNEMENT MARS+AVRIL
7231;REMB. JUILLET A AOUT
7231;REMB. STATION AVRIL-MAI
7231;REMB STATION JANVIER A JUIN
7231;REMB STATION JUIL-SEPT A DEC
7231;REMB STATION FEV-MARS-AVRIL
7231;FRAIS STATIONNEMENT MARS+AVRIL
7231;REMB STATION AOUT-SEPT-OCT
7231;REMB. JUILLET A SEPT
7231;REMB TRANSPORT PUBLIC
