Grade;2009;2010;2011;2012;2013;Variation 2009-2013
INGENIEUR;53395;54985;0;43095;57064;6,9
INGENIEUR PRINCIPAL;70853;68633;67684;67763;67823;-4,3
MAIRE;50889;51255;27507;34211;41961;-17,5
MAIRE ADJOINT;14856;14964;15159;13955;15593;5
MEDECIN;0;0;0;0;0;
MONITEUR EDUCATEUR;0;0;0;31099;0;
NEANT;0;0;0;0;0;
OPERATEUR TER.APS;26819;26864;27424;0;0;-100
OPERATEUR TER.APS QUALIF;0;0;0;29187;31024;Inf
PUERICULTRICE CLASSE NOR;0;0;0;0;0;
PUERICULTRICE CLASSE SUP;0;0;47815;47972;48431;Inf
RECEVEUR PRINCIPAL (EC);0;0;0;0;0;
REDACTEUR PRINCIPAL 1 CL;0;0;0;44020;45835;Inf
REDACTEUR PRINCIPAL 2 CL;0;0;0;40917;42965;Inf
REDACTEUR TER. CHEF;41500;41268;41254;42446;0;-100
REDACTEUR TER. PRINCIPAL;39383;40342;39393;41556;0;-100
REDACTEUR TERRITORIAL;38229;36086;38226;38930;40240;5,3
REEDUCATEUR HORS CLASSE;0;0;0;0;0;
STAGIAIRE EN ENTREPRISE;2775;5143;0;4575;4733;70,6
TECHN. SUP CHEF.;46974;46784;0;0;0;-100
TECHN. SUP. PRINCIP;38881;40477;0;0;0;-100
TECHN. SUP. TERR.;31393;34318;0;0;0;-100
TECHNICIEN PRINCIP 2CL;0;42230;42883;40298;0;
TECHNICIEN TERR PAL 1 CL;0;45764;46946;47863;50488;Inf
TECHNICIEN TERR PAL 2 CL;0;0;0;39867;35988;Inf
TECHNICIEN TERRITORIAL;0;0;0;41717;42781;Inf
VACATAIRE;8610;8229;8060;10368;10841;25,9
Moyenne;32812,6;32171,1;32058,2;32496,9;33485,4;2,1
