Grade;2009;2010;2011;2012;2013;Variation 2009-2013
CONSERV.PATRIMOINE CHEF;1;1;0,9;0;0;-100
CONTRAT D ACCOMP. EMPLOI;3,1;1,7;0,1;0,4;0;-100
CONTRAT UNIQUE D INSERT;0;8,4;3,9;1,9;0,6;Inf
CONTROLEUR TER.PAL. TRAV;2;1,8;0;0;0;-100
D.G.A.S. 20000 40000 HAB;0;0;0;0;0;
DGST 40 80 MILES HAB;1;1;1;1;1;0
DIRECT. GENER. SERVICES;0;0;0;0;0;
DIRECT.GEN.ADJ. SERVICES;1;1;1;0,3;0;-100
DIRECTEUR DE CABINET;1;1;1;1;1;0
DIRECTEUR TERRITORIAL;1;1;1;0;0;-100
EDUC.DE JEUNES ENFANTS;5,2;5,1;4,5;4,1;4;-23,8
EDUC.PRINC.JEUNES ENFANT;0;0,7;1,7;1,8;1,4;Inf
EDUC.TER.PRINC 1CL APS;0;0;0;1;1;Inf
EDUC.TER.PRINC 2CL APS;0;0;0,4;0;0;
EDUCATEUR J ENFANTS;0;0;0;0;1,4;Inf
EDUCATEUR TER. APS 2 CL;1,2;1;0,6;0;0;-100
EDUCATEUR TER. APS1CL;0;1;0,6;0;0;
EDUCATEUR TERRIT. APS;0;0;0,4;1;1;Inf
GARDIEN POLICE MUNICIPAL;1;0;0,7;1,9;2,3;133,3
INFIRMIER CLASSE NORMALE;0;0;0;0;0;
INGENIEUR;2;1;0;0,7;3,5;74,2
INGENIEUR PRINCIPAL;2,3;3;4;3,3;2,8;20,4
MAIRE;1;1;1;1,1;1;0
MAIRE ADJOINT;10;10;9,9;10,8;10;0
MEDECIN;0;0;0;0;0;
MONITEUR EDUCATEUR;0;0;0;1;0;
NEANT;0;0;0;0;0;
OPERATEUR TER.APS;1;1;1;0;0;-100
OPERATEUR TER.APS QUALIF;0;0;0;1;1;Inf
PUERICULTRICE CLASSE NOR;0;0;0;0;0;
PUERICULTRICE CLASSE SUP;0;0;0,5;0,5;0,7;Inf
RECEVEUR PRINCIPAL (EC);0;0;0;0;0;
REDACTEUR PRINCIPAL 1 CL;0;0;0;4,2;13,3;Inf
REDACTEUR PRINCIPAL 2 CL;0;0;0;1,6;4,4;Inf
REDACTEUR TER. CHEF;4,8;7,8;9,3;7,5;0;-100
REDACTEUR TER. PRINCIPAL;4,3;2,9;3,2;3,7;0;-100
REDACTEUR TERRITORIAL;9,4;10,8;12,1;7,6;7,4;-21,3
REEDUCATEUR HORS CLASSE;0;0;0;0;0;
STAGIAIRE EN ENTREPRISE;0,1;0,6;0;1,5;1,6;1269,7
TECHN. SUP CHEF.;5;5,7;0;0;0;-100
TECHN. SUP. PRINCIP;3,5;2,6;0;0;0;-100
TECHN. SUP. TERR.;3,9;3,7;0;0;0;-100
TECHNICIEN PRINCIP 2CL;0;0,4;5;0,3;0;
TECHNICIEN TERR PAL 1 CL;0;0,8;9,6;8,9;7,7;Inf
TECHNICIEN TERR PAL 2 CL;0;0;0;3,1;2;Inf
TECHNICIEN TERRITORIAL;0;0;0;4,3;5;Inf
V;7;9,7;10,6;8,4;9,8;40
Total;457,9;471,5;463,4;453;455,1;-0,6
